shortsymbols,vmsize,filesize
[section .rodata],331909,331909
[section .rela.dyn],241320,241320
[section .data.rel.ro],177616,177616
[section .symtab],0,125784
regex_automata::meta::strategy::new::ha9005d318ff11fbc,56496,56605
bd_workflows::engine::WorkflowsEngine::process_log::h153b69a6d44dedd4,36148,36274
bd_logger::async_log_buffer::AsyncLogBuffer$LT$R$GT$::run_with_shutdown::_$u7b$$u7b$closure$u7d$$u7d$::h3c2fb9192086b2d3,28140,28317
bd_api::api::Api::maintain_active_stream::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::h4db919e7d72f5037,20632,20806
[section .strtab],0,19734
bd_logger::async_log_buffer::AsyncLogBuffer$LT$R$GT$::run_with_shutdown::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::hc38a415c1e2f0970,16580,16787
crc32fast::table::CRC32_TABLE::hf52a79451db95bd3,16384,16488
bd_artifact_upload::uploader::Uploader::run_inner::_$u7b$$u7b$closure$u7d$$u7d$::hb3b598a428618f89,15792,15945
bd_logger::builder::LoggerBuilder::build::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::he542afab321a8f18,15336,15510
bd_workflows::workflow::Workflow::process_log::hcc9ba17ce7bd357f,15012,15132
_$LT$bincode..features..serde..de_borrowed..SerdeDecoder$LT$DE$GT$$u20$as$u20$serde..de..Deserializer$GT$::deserialize_seq::h12d4dc4b8ea306d0,14448,14648
regex_automata::nfa::thompson::compiler::Compiler::c::h7a1d435d35af67e3,14448,14572
_$LT$bd_logger..client_config..LoggerUpdate$u20$as$u20$bd_logger..client_config..ApplyConfig$GT$::apply_configuration::_$u7b$$u7b$closure$u7d$$u7d$::hda324158f919bdce,14248,14472
bd_workflows::engine::StateStore::load_state::_$u7b$$u7b$closure$u7d$$u7d$::h21577637c82c366f,14172,14322
bd_logger::builder::LoggerBuilder::build::_$u7b$$u7b$closure$u7d$$u7d$::h0ea23fc8e1833e8c,14032,14176
bd_crash_handler::Monitor::guess_crash_details::h4dac83a62452332d,12068,12190
bd_workflows::engine::WorkflowsEngine::new::h2ef5ce2dad024622,11032,11149
core::num::dec2flt::table::POWER_OF_FIVE_128::hd36cd3fe74b77601,10416,10533
bd_logger::builder::LoggerBuilder::build::h6efd6158bd7ff2db,8848,8962
bd_logger::consumer::BufferUploadManager::new::h1fffd6a266b16e55,8748,8867
bd_logger::metadata::MetadataCollector::normalized_metadata_with_extra_fields::h7ca041a51e6217bf,8712,8864
_$LT$regex_syntax..hir..translate..TranslatorI$u20$as$u20$regex_syntax..ast..visitor..Visitor$GT$::visit_post::h90eaae2ea8734070,7892,8078
sha2::sha256::compress256::h04262cc46ac11797,7952,8052
regex_automata::hybrid::search::find_fwd::hce5f47a13d4bb342,7928,8042
bd_workflows::engine::WorkflowsEngine::maybe_persist::_$u7b$$u7b$closure$u7d$$u7d$::h9257f3b6483e7658,7880,8038
tinyjson::parser::JsonParser$LT$I$GT$::parse_any::h85f66ee56171a37a,7796,7918
bd_logger::consumer::BufferUploadManager::run::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::h97196e8ef8669d39,7680,7859
regex_automata::nfa::thompson::pikevm::PikeVM::search_imp::hdbc4d0601f969a37,7708,7838
Java_io_bitdrift_capture_CaptureJniLibrary_createLogger,7672,7779
_$LT$alloc..string..String$u20$as$u20$core..fmt..Write$GT$::write_char::h5d30d391c8ffff70,5408,7613
bd_client_stats::stats::Flusher::flush_to_disk::_$u7b$$u7b$closure$u7d$$u7d$::h707376e922fdf35e,7408,7559
bd_workflows::actions_flush_buffers::Negotiator::run::_$u7b$$u7b$closure$u7d$$u7d$::h05142f1fd7520f48,7360,7518
regex_automata::nfa::thompson::pikevm::PikeVM::which_overlapping_imp::he9d58f65b3653aff,7240,7381
_$LT$bd_logger..log_replay..LoggerReplay$u20$as$u20$bd_logger..log_replay..LogReplay$GT$::replay_log::_$u7b$$u7b$closure$u7d$$u7d$::hc97b5cf43609afe5,6812,7019
tokio::runtime::builder::Builder::build::ha267c44d558263e3,6844,6955
tokio::runtime::scheduler::multi_thread::worker::run::h9f52a722d7d39077,6504,6628
hashbrown::raw::RawTableInner::rehash_in_place::hc17f0b3d5bd5de58,5392,6360
bd_workflows::sankey_diagram::Processor::run::_$u7b$$u7b$closure$u7d$$u7d$::h981b17d75f6cbe8f,6072,6221
regex_syntax::hir::Hir::alternation::hb80a4a44f4f6b894,5580,5690
regex_automata::nfa::thompson::builder::Builder::build::h6c8afa7515bbfaa0,5524,5650
aho_corasick::packed::api::Builder::build::h3bc296b78b4c258c,5268,5382
